Rank,Features,Number of Features,RMSE,R-squared,Adjusted R2,MAE,Contains R&D,Evaluated By,Evaluation Count,Algorithms
1,R&D Spend,1,7714.334890830185,0.9265108109341952,0.9173246623009694,6077.363300620399,True,ALGO / BUSINESS / MVA / SFS,8,"Lasso, RFE, Random Forest Importance, SelectKBest, Sequential Feature Selection"
2,"Marketing Spend, R&D Spend",2,8206.32881316585,0.9168381183550248,0.8930775807421746,6469.181721468586,True,ALGO / BUSINESS / MVA,6,"Lasso, RFE, Random Forest Importance, SelectKBest"
3,"Marketing Spend, R&D Spend, State_New York",3,8242.782649484641,0.9160976403529226,0.8741464605293839,6430.578356776367,True,ALGO,1,SelectKBest
4,"Marketing Spend, R&D Spend, State_Florida, State_New York",4,8254.686589386345,0.915855127628078,0.8485392297305403,6454.510107276783,True,ALGO,1,SelectKBest
5,"Administration, Marketing Spend, R&D Spend",3,8995.905803361416,0.9000653083037321,0.850097962455598,6979.152252370399,True,ALGO / BUSINESS / MVA,5,"Lasso, RFE, Random Forest Importance"
6,"Administration, Marketing Spend, R&D Spend, State_Florida, State_New York",5,9055.957323458442,0.8987266414328643,0.7721349432239446,6961.477813252353,True,ALGO / BUSINESS / MVA / SFS,8,"Lasso, RFE, Random Forest Importance, SelectKBest, Sequential Feature Selection"
7,"Administration, Marketing Spend, R&D Spend, State_Florida",4,9055.957752233588,0.8987266318428234,0.8177079373170822,6961.486845714125,True,ALGO / BUSINESS / SFS,6,"Lasso, RFE, Random Forest Importance, Sequential Feature Selection"
8,"Administration, R&D Spend",2,9152.274782350903,0.8965609365509307,0.8670069184226253,7181.3271317143835,True,ALGO / MVA / SFS,3,Sequential Feature Selection
9,"Administration, R&D Spend, State_Florida",3,9284.310511935364,0.8935548710812296,0.8403323066218443,7429.961493002911,True,ALGO / SFS,2,Sequential Feature Selection
10,"Administration, Marketing Spend",2,27199.55823065945,0.0864124360147621,-0.1746125822667343,20748.953962815267,False,MVA,1,
11,Marketing Spend,1,30008.898084282035,-0.1120557899782794,-0.2510627637255644,23639.881154096685,False,MVA,1,
12,Administration,1,31056.94202268825,-0.1910880325089363,-0.3399740365725534,23482.91396900713,False,MVA,1,
