Feature Set Name,Selected Features,Number of Features,R-squared,Adjusted R2,MAE,RMSE,Algorithm
Sequential Feature Selection,[R&D Spend],1,0.9265108109341951,0.9173246623009694,6077.363300620399,7714.334890830185,Sequential Feature Selection
Sequential Feature Selection,"[R&D Spend, Administration]",2,0.8965609365509308,0.8670069184226253,7181.327131714383,9152.274782350905,Sequential Feature Selection
Sequential Feature Selection,"[R&D Spend, Administration, State_Florida]",3,0.8935548710812296,0.8403323066218443,7429.961493002911,9284.310511935364,Sequential Feature Selection
Sequential Feature Selection,"[R&D Spend, Administration, State_Florida, Marketing Spend]",4,0.8987266318428394,0.817707937317111,6961.486845713737,9055.957752232873,Sequential Feature Selection
Sequential Feature Selection,"[R&D Spend, Administration, State_Florida, Marketing Spend, State_New York]",5,0.8987266414328693,0.7721349432239559,6961.477813252126,9055.957323458217,Sequential Feature Selection
RFE,[R&D Spend],1,0.9265108109341951,0.9173246623009694,6077.363300620399,7714.334890830185,RFE
RFE,"[R&D Spend, Marketing Spend]",2,0.9168381183550247,0.8930775807421746,6469.181721468586,8206.32881316585,RFE
RFE,"[R&D Spend, Marketing Spend, Administration]",3,0.900065308303732,0.850097962455598,6979.152252370399,8995.905803361416,RFE
RFE,"[R&D Spend, Marketing Spend, Administration, State_Florida]",4,0.8987266318428203,0.8177079373170766,6961.4868457142,9055.95775223373,RFE
RFE,"[R&D Spend, Marketing Spend, Administration, State_Florida, State_New York]",5,0.8987266414328636,0.7721349432239432,6961.477813252384,9055.957323458471,RFE
Lasso,[R&D Spend],1,0.9265108109341951,0.9173246623009694,6077.363300620399,7714.334890830185,Lasso
Lasso,"[R&D Spend, Marketing Spend]",2,0.9168381183550247,0.8930775807421746,6469.181721468586,8206.32881316585,Lasso
Lasso,"[R&D Spend, Marketing Spend, Administration]",3,0.900065308303732,0.850097962455598,6979.152252370399,8995.905803361416,Lasso
Lasso,"[R&D Spend, Marketing Spend, Administration, State_Florida]",4,0.8987266318428203,0.8177079373170766,6961.4868457142,9055.95775223373,Lasso
Lasso,"[R&D Spend, Marketing Spend, Administration, State_Florida, State_New York]",5,0.8987266414328636,0.7721349432239432,6961.477813252384,9055.957323458471,Lasso
SelectKBest,[R&D Spend],1,0.9265108109341951,0.9173246623009694,6077.363300620399,7714.334890830185,SelectKBest
SelectKBest,"[R&D Spend, Marketing Spend]",2,0.9168381183550247,0.8930775807421746,6469.181721468586,8206.32881316585,SelectKBest
SelectKBest,"[R&D Spend, Marketing Spend, State_New York]",3,0.9160976403529226,0.8741464605293839,6430.578356776367,8242.782649484641,SelectKBest
SelectKBest,"[R&D Spend, Marketing Spend, State_New York, State_Florida]",4,0.915855127628078,0.8485392297305403,6454.510107276783,8254.686589386345,SelectKBest
SelectKBest,"[R&D Spend, Marketing Spend, State_New York, State_Florida, Administration]",5,0.8987266414328635,0.7721349432239429,6961.477813252388,9055.957323458475,SelectKBest
Random Forest Importance,[R&D Spend],1,0.9265108109341951,0.9173246623009694,6077.363300620399,7714.334890830185,Random Forest Importance
Random Forest Importance,"[R&D Spend, Marketing Spend]",2,0.9168381183550247,0.8930775807421746,6469.181721468586,8206.32881316585,Random Forest Importance
Random Forest Importance,"[R&D Spend, Marketing Spend, Administration]",3,0.900065308303732,0.850097962455598,6979.152252370399,8995.905803361416,Random Forest Importance
Random Forest Importance,"[R&D Spend, Marketing Spend, Administration, State_Florida]",4,0.8987266318428203,0.8177079373170766,6961.4868457142,9055.95775223373,Random Forest Importance
Random Forest Importance,"[R&D Spend, Marketing Spend, Administration, State_Florida, State_New York]",5,0.8987266414328636,0.7721349432239432,6961.477813252384,9055.957323458471,Random Forest Importance
